source_place_id,source_place_name,source_coordinates,nearby_rank,nearby_place_id,nearby_place_name,nearby_coordinates,walking_distance,walking_time,driving_distance,driving_time
VNS015,Annapurna Temple,"25.3106, 83.0104",2,VNS030,Vishwanath Gali,"25.31, 83.009",210 m,2 mins,0.21 km,2 mins
VNS015,Annapurna Temple,"25.3106, 83.0104",3,VNS018,Jantar Mantar Varanasi (Man Singh Observatory),"25.3087, 83.0116",330 m,3 mins,0.33 km,2 mins
VNS015,Annapurna Temple,"25.3106, 83.0104",4,VNS029,Godowlia Market,"25.309, 83.008",400 m,4 mins,0.4 km,2 mins
VNS015,Annapurna Temple,"25.3106, 83.0104",5,VNS037,Lalita Ghat & Nepali Temple,"25.31, 83.0135",430 m,5 mins,0.43 km,2 mins
VNS016,Chaukhandi Stupa,"25.3736, 83.0232",1,VNS026,Tibetan Temple Sarnath,"25.38, 83.02",1.05 km,12 mins,1.05 km,3 mins
VNS016,Chaukhandi Stupa,"25.3736, 83.0232",2,VNS006,Sarnath Archaeological Museum,"25.3805, 83.0215",1.06 km,12 mins,1.06 km,3 mins
VNS016,Chaukhandi Stupa,"25.3736, 83.0232",3,VNS005,Sarnath Archaeological Site & Dhamek Stupa,"25.3812, 83.0227",1.14 km,13 mins,1.14 km,3 mins
VNS016,Chaukhandi Stupa,"25.3736, 83.0232",4,VNS048,Mrigadayavan Zoo / Deer Park Sarnath,"25.3815, 83.0255",1.23 km,14 mins,1.23 km,4 mins
VNS016,Chaukhandi Stupa,"25.3736, 83.0232",5,VNS025,Mulagandha Kuti Vihar,"25.3818, 83.0245",1.24 km,14 mins,1.24 km,4 mins
VNS017,Bharat Kala Bhavan Museum,"25.2671, 82.9918",1,VNS007,Banaras Hindu University (BHU),"25.2677, 82.9913",110 m,1 mins,0.11 km,2 mins
VNS017,Bharat Kala Bhavan Museum,"25.2671, 82.9918",2,VNS008,New Vishwanath Temple (Shri Vishwanath Mandir / VT),"25.2657, 82.9877",590 m,7 mins,0.59 km,2 mins
VNS017,Bharat Kala Bhavan Museum,"25.2671, 82.9918",3,VNS010,Sankat Mochan Hanuman Temple,"25.2818, 82.9972",2.33 km,27 mins,2.33 km,7 mins
VNS017,Bharat Kala Bhavan Museum,"25.2671, 82.9918",4,VNS011,Tulsi Manas Mandir,"25.2847, 82.997",2.73 km,32 mins,2.73 km,9 mins
VNS017,Bharat Kala Bhavan Museum,"25.2671, 82.9918",5,VNS012,Durga Kund Temple (Durga Mandir),"25.2862, 82.9981",2.99 km,35 mins,2.99 km,9 mins
VNS018,Jantar Mantar Varanasi (Man Singh Observatory),"25.3087, 83.0116",1,VNS039,Vishalakshi Gauri Temple,"25.3082, 83.0122",110 m,1 mins,0.11 km,2 mins
VNS018,Jantar Mantar Varanasi (Man Singh Observatory),"25.3087, 83.0116",2,VNS001,Dashashwamedh Ghat,"25.3076, 83.0104",230 m,2 mins,0.23 km,2 mins
VNS018,Jantar Mantar Varanasi (Man Singh Observatory),"25.3087, 83.0116",3,VNS040,Ganges River Boat Ride (Central Ghats),"25.3076, 83.0104",230 m,2 mins,0.23 km,2 mins
VNS018,Jantar Mantar Varanasi (Man Singh Observatory),"25.3087, 83.0116",4,VNS041,Sheetla Ghat,"25.307, 83.0102",320 m,3 mins,0.32 km,2 mins
VNS018,Jantar Mantar Varanasi (Man Singh Observatory),"25.3087, 83.0116",5,VNS037,Lalita Ghat & Nepali Temple,"25.31, 83.0135",320 m,3 mins,0.32 km,2 mins
VNS019,Namo Ghat (Khidkiya Ghat),"25.3283, 83.0312",1,VNS045,Trilochan Ghat,"25.321, 83.023",1.56 km,18 mins,1.56 km,5 mins
VNS019,Namo Ghat (Khidkiya Ghat),"25.3283, 83.0312",2,VNS036,Alamgir Mosque (Beniyabagh / Panchganga),"25.316, 83.0185",2.53 km,30 mins,2.53 km,8 mins
VNS019,Namo Ghat (Khidkiya Ghat),"25.3283, 83.0312",3,VNS024,Panchganga Ghat,"25.3156, 83.0181",2.61 km,31 mins,2.61 km,8 mins
VNS019,Namo Ghat (Khidkiya Ghat),"25.3283, 83.0312",4,VNS044,Bhonsale Ghat,"25.313, 83.016",3.09 km,37 mins,3.09 km,10 mins
VNS019,Namo Ghat (Khidkiya Ghat),"25.3283, 83.0312",5,VNS014,Kaal Bhairav Temple,"25.3188, 83.0105",3.15 km,37 mins,3.15 km,10 mins
VNS020,Subah-e-Banaras at Assi Ghat,"25.2882, 82.9996",1,VNS004,Assi Ghat,"25.2882, 82.9996",100 m,1 mins,0.1 km,2 mins
VNS020,Subah-e-Banaras at Assi Ghat,"25.2882, 82.9996",2,VNS035,Tulsi Ghat,"25.2895, 83.001",270 m,3 mins,0.27 km,2 mins
VNS020,Subah-e-Banaras at Assi Ghat,"25.2882, 82.9996",3,VNS012,Durga Kund Temple (Durga Mandir),"25.2862, 82.9981",360 m,4 mins,0.36 km,2 mins
VNS020,Subah-e-Banaras at Assi Ghat,"25.2882, 82.9996",4,VNS011,Tulsi Manas Mandir,"25.2847, 82.997",630 m,7 mins,0.63 km,2 mins
VNS020,Subah-e-Banaras at Assi Ghat,"25.2882, 82.9996",5,VNS023,Chet Singh Ghat,"25.2936, 83.0035",970 m,11 mins,0.97 km,3 mins
VNS021,Scindia Ghat & Submerged Shiva Temple,"25.312, 83.015",1,VNS046,Manikarnika Kund,"25.311, 83.0142",190 m,2 mins,0.19 km,2 mins
VNS021,Scindia Ghat & Submerged Shiva Temple,"25.312, 83.015",2,VNS044,Bhonsale Ghat,"25.313, 83.016",200 m,2 mins,0.2 km,2 mins
VNS021,Scindia Ghat & Submerged Shiva Temple,"25.312, 83.015",3,VNS003,Manikarnika Ghat,"25.3108, 83.0143",200 m,2 mins,0.2 km,2 mins
VNS021,Scindia Ghat & Submerged Shiva Temple,"25.312, 83.015",4,VNS037,Lalita Ghat & Nepali Temple,"25.31, 83.0135",360 m,4 mins,0.36 km,2 mins
VNS021,Scindia Ghat & Submerged Shiva Temple,"25.312, 83.015",5,VNS002,Kashi Vishwanath Temple,"25.3109, 83.0107",610 m,7 mins,0.61 km,2 mins
VNS022,Darbhanga Ghat & BrijRama Palace,"25.3065, 83.01",1,VNS042,Ahilyabai Ghat,"25.3068, 83.0101",100 m,1 mins,0.1 km,2 mins
VNS022,Darbhanga Ghat & BrijRama Palace,"25.3065, 83.01",2,VNS043,Munshi Ghat,"25.3062, 83.0098",100 m,1 mins,0.1 km,2 mins
VNS022,Darbhanga Ghat & BrijRama Palace,"25.3065, 83.01",3,VNS041,Sheetla Ghat,"25.307, 83.0102",100 m,1 mins,0.1 km,2 mins
VNS022,Darbhanga Ghat & BrijRama Palace,"25.3065, 83.01",4,VNS001,Dashashwamedh Ghat,"25.3076, 83.0104",170 m,2 mins,0.17 km,2 mins
VNS022,Darbhanga Ghat & BrijRama Palace,"25.3065, 83.01",5,VNS040,Ganges River Boat Ride (Central Ghats),"25.3076, 83.0104",170 m,2 mins,0.17 km,2 mins
VNS023,Chet Singh Ghat,"25.2936, 83.0035",1,VNS034,Harishchandra Ghat,"25.2965, 83.005",480 m,5 mins,0.48 km,2 mins
VNS023,Chet Singh Ghat,"25.2936, 83.0035",2,VNS035,Tulsi Ghat,"25.2895, 83.001",700 m,8 mins,0.7 km,2 mins
VNS023,Chet Singh Ghat,"25.2936, 83.0035",3,VNS033,Kedar Ghat,"25.298, 83.006",740 m,8 mins,0.74 km,2 mins
VNS023,Chet Singh Ghat,"25.2936, 83.0035",4,VNS004,Assi Ghat,"25.2882, 82.9996",970 m,11 mins,0.97 km,3 mins
VNS023,Chet Singh Ghat,"25.2936, 83.0035",5,VNS020,Subah-e-Banaras at Assi Ghat,"25.2882, 82.9996",970 m,11 mins,0.97 km,3 mins
VNS024,Panchganga Ghat,"25.3156, 83.0181",1,VNS036,Alamgir Mosque (Beniyabagh / Panchganga),"25.316, 83.0185",100 m,1 mins,0.1 km,2 mins
VNS024,Panchganga Ghat,"25.3156, 83.0181",2,VNS044,Bhonsale Ghat,"25.313, 83.016",480 m,5 mins,0.48 km,2 mins
VNS024,Panchganga Ghat,"25.3156, 83.0181",3,VNS021,Scindia Ghat & Submerged Shiva Temple,"25.312, 83.015",680 m,8 mins,0.68 km,2 mins
VNS024,Panchganga Ghat,"25.3156, 83.0181",4,VNS046,Manikarnika Kund,"25.311, 83.0142",870 m,10 mins,0.87 km,2 mins
VNS024,Panchganga Ghat,"25.3156, 83.0181",5,VNS003,Manikarnika Ghat,"25.3108, 83.0143",890 m,10 mins,0.89 km,2 mins
VNS025,Mulagandha Kuti Vihar,"25.3818, 83.0245",1,VNS048,Mrigadayavan Zoo / Deer Park Sarnath,"25.3815, 83.0255",140 m,1 mins,0.14 km,2 mins
VNS025,Mulagandha Kuti Vihar,"25.3818, 83.0245",2,VNS005,Sarnath Archaeological Site & Dhamek Stupa,"25.3812, 83.0227",260 m,3 mins,0.26 km,2 mins
VNS025,Mulagandha Kuti Vihar,"25.3818, 83.0245",3,VNS006,Sarnath Archaeological Museum,"25.3805, 83.0215",450 m,5 mins,0.45 km,2 mins
VNS025,Mulagandha Kuti Vihar,"25.3818, 83.0245",4,VNS028,Japanese Temple Sarnath,"25.383, 83.021",510 m,6 mins,0.51 km,2 mins
VNS025,Mulagandha Kuti Vihar,"25.3818, 83.0245",5,VNS026,Tibetan Temple Sarnath,"25.38, 83.02",670 m,8 mins,0.67 km,2 mins
VNS026,Tibetan Temple Sarnath,"25.38, 83.02",1,VNS006,Sarnath Archaeological Museum,"25.3805, 83.0215",220 m,2 mins,0.22 km,2 mins
VNS026,Tibetan Temple Sarnath,"25.38, 83.02",2,VNS027,Thai Temple Sarnath,"25.3825, 83.0195",380 m,4 mins,0.38 km,2 mins
VNS026,Tibetan Temple Sarnath,"25.38, 83.02",3,VNS005,Sarnath Archaeological Site & Dhamek Stupa,"25.3812, 83.0227",410 m,4 mins,0.41 km,2 mins
VNS026,Tibetan Temple Sarnath,"25.38, 83.02",4,VNS028,Japanese Temple Sarnath,"25.383, 83.021",470 m,5 mins,0.47 km,2 mins
VNS026,Tibetan Temple Sarnath,"25.38, 83.02",5,VNS025,Mulagandha Kuti Vihar,"25.3818, 83.0245",670 m,8 mins,0.67 km,2 mins
VNS027,Thai Temple Sarnath,"25.3825, 83.0195",1,VNS028,Japanese Temple Sarnath,"25.383, 83.021",220 m,2 mins,0.22 km,2 mins
VNS027,Thai Temple Sarnath,"25.3825, 83.0195",2,VNS026,Tibetan Temple Sarnath,"25.38, 83.02",380 m,4 mins,0.38 km,2 mins
VNS027,Thai Temple Sarnath,"25.3825, 83.0195",3,VNS006,Sarnath Archaeological Museum,"25.3805, 83.0215",400 m,4 mins,0.4 km,2 mins
VNS027,Thai Temple Sarnath,"25.3825, 83.0195",4,VNS005,Sarnath Archaeological Site & Dhamek Stupa,"25.3812, 83.0227",480 m,5 mins,0.48 km,2 mins
VNS027,Thai Temple Sarnath,"25.3825, 83.0195",5,VNS025,Mulagandha Kuti Vihar,"25.3818, 83.0245",690 m,8 mins,0.69 km,2 mins
VNS028,Japanese Temple Sarnath,"25.383, 83.021",1,VNS027,Thai Temple Sarnath,"25.3825, 83.0195",220 m,2 mins,0.22 km,2 mins
VNS028,Japanese Temple Sarnath,"25.383, 83.021",2,VNS005,Sarnath Archaeological Site & Dhamek Stupa,"25.3812, 83.0227",360 m,4 mins,0.36 km,2 mins
VNS028,Japanese Temple Sarnath,"25.383, 83.021",3,VNS006,Sarnath Archaeological Museum,"25.3805, 83.0215",380 m,4 mins,0.38 km,2 mins
VNS028,Japanese Temple Sarnath,"25.383, 83.021",4,VNS026,Tibetan Temple Sarnath,"25.38, 83.02",470 m,5 mins,0.47 km,2 mins
VNS028,Japanese Temple Sarnath,"25.383, 83.021",5,VNS025,Mulagandha Kuti Vihar,"25.3818, 83.0245",510 m,6 mins,0.51 km,2 mins
VNS029,Godowlia Market,"25.309, 83.008",1,VNS030,Vishwanath Gali,"25.31, 83.009",200 m,2 mins,0.2 km,2 mins
VNS029,Godowlia Market,"25.309, 83.008",2,VNS001,Dashashwamedh Ghat,"25.3076, 83.0104",390 m,4 mins,0.39 km,2 mins
VNS029,Godowlia Market,"25.309, 83.008",3,VNS040,Ganges River Boat Ride (Central Ghats),"25.3076, 83.0104",390 m,4 mins,0.39 km,2 mins
VNS029,Godowlia Market,"25.309, 83.008",4,VNS015,Annapurna Temple,"25.3106, 83.0104",400 m,4 mins,0.4 km,2 mins
VNS029,Godowlia Market,"25.309, 83.008",5,VNS041,Sheetla Ghat,"25.307, 83.0102",420 m,5 mins,0.42 km,2 mins
VNS030,Vishwanath Gali,"25.31, 83.009",1,VNS029,Godowlia Market,"25.309, 83.008",200 m,2 mins,0.2 km,2 mins
VNS030,Vishwanath Gali,"25.31, 83.009",2,VNS015,Annapurna Temple,"25.3106, 83.0104",210 m,2 mins,0.21 km,2 mins
VNS030,Vishwanath Gali,"25.31, 83.009",3,VNS002,Kashi Vishwanath Temple,"25.3109, 83.0107",270 m,3 mins,0.27 km,2 mins
VNS030,Vishwanath Gali,"25.31, 83.009",4,VNS018,Jantar Mantar Varanasi (Man Singh Observatory),"25.3087, 83.0116",400 m,4 mins,0.4 km,2 mins
VNS030,Vishwanath Gali,"25.31, 83.009",5,VNS001,Dashashwamedh Ghat,"25.3076, 83.0104",410 m,4 mins,0.41 km,2 mins
VNS031,Thatheri Bazaar,"25.314, 83.0095",1,VNS002,Kashi Vishwanath Temple,"25.3109, 83.0107",490 m,5 mins,0.49 km,2 mins
VNS031,Thatheri Bazaar,"25.314, 83.0095",2,VNS015,Annapurna Temple,"25.3106, 83.0104",520 m,6 mins,0.52 km,2 mins
VNS031,Thatheri Bazaar,"25.314, 83.0095",3,VNS030,Vishwanath Gali,"25.31, 83.009",600 m,7 mins,0.6 km,2 mins
VNS031,Thatheri Bazaar,"25.314, 83.0095",4,VNS014,Kaal Bhairav Temple,"25.3188, 83.0105",730 m,8 mins,0.73 km,2 mins
VNS031,Thatheri Bazaar,"25.314, 83.0095",5,VNS029,Godowlia Market,"25.309, 83.008",780 m,9 mins,0.78 km,2 mins
VNS032,Varanasi Silk Weaving Village (Peoplani / Madanpura),"25.302, 83.004",1,VNS038,Tilbhandeshwar Mahadev Temple,"25.3015, 83.0012",390 m,4 mins,0.39 km,2 mins
VNS032,Varanasi Silk Weaving Village (Peoplani / Madanpura),"25.302, 83.004",2,VNS033,Kedar Ghat,"25.298, 83.006",660 m,7 mins,0.66 km,2 mins
VNS032,Varanasi Silk Weaving Village (Peoplani / Madanpura),"25.302, 83.004",3,VNS034,Harishchandra Ghat,"25.2965, 83.005",840 m,10 mins,0.84 km,2 mins
VNS032,Varanasi Silk Weaving Village (Peoplani / Madanpura),"25.302, 83.004",4,VNS043,Munshi Ghat,"25.3062, 83.0098",1.01 km,12 mins,1.01 km,3 mins
VNS032,Varanasi Silk Weaving Village (Peoplani / Madanpura),"25.302, 83.004",5,VNS022,Darbhanga Ghat & BrijRama Palace,"25.3065, 83.01",1.06 km,12 mins,1.06 km,3 mins
VNS033,Kedar Ghat,"25.298, 83.006",1,VNS034,Harishchandra Ghat,"25.2965, 83.005",260 m,3 mins,0.26 km,2 mins
